Mot,Prononciation,Type
&c,ɛtseteʁa,adverbe
(2s),døzjɛmsɛksjɔ̃,nom
(2s),døɛs,nom
1º,pʁimo,adverbe
2m1,dəmɛ̃,adverbe
68ard,swasɑ̃tɥitaʁ,nom
68ard,swasɑ̃tɥitaʁ,adjectif
68arde,swasɑ̃tɥitaʁd,adjectif_flexion
68arde,swasɑ̃tɥitaʁd,nom
68ardes,swasɑ̃tɥitaʁd,adjectif_flexion
68ardes,swasɑ̃tɥitaʁd,nom_flexion
68ards,swasɑ̃tɥitaʁ,nom_flexion
68ards,swasɑ̃tɥitaʁ,adjectif_flexion
70ème,swasɑ̃tdizjɛm,adjectif
aa,ana,nom_num=2
aasá,asa,nom
ab,av,nom_num=1
abacos,abakos,nom
abacost,abakost,nom
abadá,abada,nom
abadás,abada,nom_flexion
abayent,abɛj,verbe_flexion
abc,abese,nom
abcd,abesede,nom
abds,aba,nom_flexion
abies,abjɛs,nom
abipón,abipɔn,nom
ablainois,ablɛ̃nwa,adjectif
ablainoise,ablɛ̃nwaz,adjectif_flexion
ablainoises,ablɛ̃nwaz,adjectif_flexion
aboiteau,abweto,nom
abstraite,apstʁɛ,adjectif_flexion
acceptatrices,aksɛptatœʁ,adjectif_flexion
accortesse,akɔʁtiz,nom
acehnais,atʃenɛ,adjectif
acehnais,atʃenɛ,nom
achrien,akʁijɛ̃,adjectif
achunoises,aʃyenwaz,adjectif_flexion
acroá,akʁoa,nom
admixtion,admiksjɔ̃,nom
admixtions,admiksjɔ̃,nom_flexion
adèloise,adelwaz,adjectif_flexion
adèloises,adelwaz,adjectif_flexion
affaiblir,-fɛ-,verbe
affligés,afiʒe,nom_flexion
affoiblir,afebliʁ,verbe
affouagements,afuajmɑ̃,nom_flexion
affouragemens,afuʁajmɑ̃,nom_flexion
affouragement,afuʁajmɑ̃,nom
affouragements,afuʁajmɑ̃,nom_flexion
affourragemens,afuʁajmɑ̃,nom_flexion
affourragement,afuʁajmɑ̃,nom
affourragements,afuʁajmɑ̃,nom_flexion
affourée,afyʁe,nom
afk,aɛfka,nom
afk,aɛfka,adjectif
agnus,aŋus,nom
agroindustrielle,aɡʁoɛ̃dystʁijɛl,adjectif_flexion
agroindustrielles,aɡʁoɛ̃dystʁijɛl,adjectif_flexion
agryon,aɡʁijɔ̃,nom
agryons,aɡʁijɔ̃,nom_flexion
agrég’,aɡʁeɡ,nom
ahunoise,aœ̃nwaz,adjectif_flexion
aigayent,ɛɡɛj,verbe_flexion
aight,ajt,interjection
aiguayent,ɛɡɛj,verbe_flexion
aiguillères,eɡɥije,nom_flexion
aindinoises,z,adjectif_flexion
airbnbiser,ɛʁbienbize,verbe
ajust,aʒy,nom
ajusts,aʒy,nom_flexion
al,anelymjɛʁ,symbole
alabamaine,alabamɛ̃,adjectif_flexion
alabamaines,alabamɛ̃,adjectif_flexion
alacap,alakab,nom
albanisante,albanizɑ̃,adjectif_flexion
albanisantes,albanizɑ̃,adjectif_flexion
albatros,albatʁos,nom_num=2
albatros,albatʁos,nom_num=1
albinos,albinos,nom
albinos,albinos,adjectif
albiéroises,albjeʁwa,adjectif_flexion
alcaest,alkaɛst,nom
alcaests,alkaɛst,nom_flexion
alcootest,alkɔtɛst,nom
alcootests,alkɔtɛst,nom_flexion
alcotest,alkotɛst,nom
alcotests,alkɔtɛst,nom_flexion
alexandrien,alɛksɑ̃dʁijɛ̃,adjectif
alkaest,alkaɛst,nom
alkaests,alkaɛst,nom_flexion
allayent,alɛj,verbe_flexion
allouestrien,alwɛstʁijɛ̃,adjectif
allélomorphique,alelomɔʁf,adjectif
almadía,almadja,nom
alréennes,laʁeɛ̃,adjectif_flexion
alytarchie,alitaʁk,nom
amalfitaines,amalfitɛ̃,adjectif_flexion
amapiennnes,amapjɛn,adjectif_flexion
amazighe,amaziɡ,adjectif_flexion
amazighes,amaziɡ,adjectif_flexion
amazighs,amaziɡ,adjectif_flexion
amaziɣ,amaziʁ,nom
amaziɣ,amaziʁ,adjectif
amaziɣophone,amaziʁɔfɔn,nom
amaziɣophone,amaziʁɔfɔn,adjectif
amaziɣophones,amaziʁɔfɔn,adjectif_flexion
amaïh,amɑj,interjection
amblyope,ɑ̃blijɔp,nom
amblyope,ɑ̃blijɔp,adjectif
amblyopie,ɑ̃blijɔpi,nom
amblyopies,ɑ̃blijɔpi,nom_flexion
amblyoscope,ɑ̃blijɔskɔp,nom
amblyoscopes,ɑ̃blijɔskɔp,nom_flexion
ambrusien,ɑ̃bʁyzjɛ,adjectif
amha,amɔ̃nœ̃blavi,adverbe
amnios,amnjos,nom
amodiable,amɔnjabl,adjectif
amoebien,amɛbjɛ̃,nom
amorceuse,amɔʁsœʁ,adjectif_flexion
amphitryon,ɑ̃fitʁijɔ̃,nom
amphitryonne,ɑ̃fitʁijɔn,nom
amphitryonnes,ɑ̃fitʁijɔn,nom_flexion
amphitryons,ɑ̃fitʁijɔ̃,nom_flexion
amstaffs,amstaf,nom_flexion
amygdaliformes,amiɡdallifɔʁm,adjectif_flexion
amân,amɑ̃,nom
amâns,amɑ̃,nom_flexion
anaclétique,anaklektik,adjectif
anaclétiques,anaklektik,adjectif_flexion
anacéphaléose,anasefaloz,nom
anagyrine,anaʁʒin,nom
anamnétique,anammetik,nom
anamnétique,anammetik,adjectif
anaphonèse,anafɔʁɛz,nom
anasémisante,anasemizɑ̃,adjectif_flexion
anasémisantes,anasemizɑ̃,adjectif_flexion
ancyloblépharon,ɑ̃sikloblefaʁɔ̃,nom
ancymidole,asimidɔl,nom
ancônitaine,ɑ̃kɔnitɛ̃n,adjectif_flexion
ancônitaines,ɑ̃kɔnitɛ̃n,adjectif_flexion
andreinais,ɑ̃dʁɛ̃nɛ,adjectif
androdamas,ɑ̃dʁomada,nom
androgenèses,ɑdʁɔʒenɛz,nom_flexion
androgynéités,ɑ̃dʁɔʒinɛitɛ,nom_flexion
andromorphose,ɑdʁɔmɔʁfɔz,nom
andromorphoses,ɑdʁɔmɔʁfɔz,nom_flexion
androsphinx,ɑdʁɔsfɛ̃ks,nom
andréenne,ɑ̃dʁeɛ̃,adjectif_flexion
andrôn,ɑ̃dʁɔ̃,nom
andrôns,ɑ̃dʁɔ̃,nom_flexion
aneut,anœ,adverbe
angioléiomyome,ɑ̃ʒjɔleimjom,nom
angiscope,ɑ̃ʒjɔskɔp,nom
anglo,ˈɑ̃ɡlo,nom
angolaise,ɑ̃ɡɔlɛ,adjectif_flexion
angolaises,ɑ̃ɡɔlɛ,adjectif_flexion
angström,ɑ̃ɡstʁœm,nom
angströms,ɑ̃ɡstʁœm,nom_flexion
angélolâtre,ʒelolatʁ,nom
anma,ama,nom
anmas,ama,nom_flexion
annamitisant,anamizɑ̃,adjectif
annoyware,œnɔjwɛʁ,nom
annulleroient,anyləʁɛ,verbe_flexion
annullerois,anyləʁɛ,verbe_flexion
annulleroit,anyləʁɛ,verbe_flexion
annulloient,anylɛ,verbe_flexion
annullois,anylɛ,verbe_flexion
annulloit,anylɛ,verbe_flexion
anodyns,anɔdɛ̃,nom_flexion
anodyns,anɔdɛ̃,adjectif_flexion
anoméenne,anɔmeɛ̃nɛn,nom
anspect,ɑ̃spɛk,nom
anspects,ɑ̃spɛk,nom_flexion
antenaises,ɑ̃tənɛ,adjectif_flexion
antiaromatiques,aʁomatik,adjectif_flexion
antibois,ɑ̃tibwɑ,nom
anticivilisations,sivilizasjɔ̃,nom_flexion
antidictatoriaux,ɑ̃tidɛ̃ktatɔʁjo,adjectif_flexion
antidyssentérique,ɑ̃tidisɑ̃tʁik,adjectif
antidyssentérique,ɑ̃tidisɑ̃tʁik,nom
antijuivisme,ɑ̃tiʒɥvism,nom
antijuivismes,ɑ̃tiʒɥvism,nom_flexion
antilégomènes,ɑ̃tilɔɡumɛn,nom
antioxygène,ɑ̃tiɔksiʒen,adjectif
antioxygène,ɑ̃tiɔksiʒen,nom
antioxygènes,ɑ̃tiɔksiʒen,nom_flexion
antioxygènes,ɑ̃tiɔksiʒen,adjectif_flexion
antipourriel,ɑtipuʁjɛl,adjectif
antipsorique,ɑ̃tisɔpɔʁifik,adjectif
antipsorique,ɑ̃tisɔpɔʁifik,nom
antipsoriques,ɑ̃tisɔpɔʁifik,adjectif_flexion
antipsoriques,ɑ̃tisɔpɔʁifik,nom_flexion
antipublicité,ɑ̃tipyblise,adjectif
antiquisante,ɑ̃tikizɑ̃,nom_flexion
antiquisantes,ɑ̃tikizɑ̃,nom_flexion
antitrust,ɑ̃titʁəst,adjectif
antitrusts,ɑ̃titʁəst,adjectif_flexion
antivectorielles,ɑ̃tivɛktɔʁjɛlɛl,adjectif_flexion
antonymisation,ɑ̃tɔnɔmizasjɔ̃,nom
antonymisations,ɑ̃tɔnɔmizasjɔ̃,nom_flexion
antoécien,ɑ̃tesjɛ̃,adjectif
antébois,ɑ̃təbwɑ,nom
antéisagoge,ɑ̃tɛzaɡɔʒ,nom
antéisagoges,ɑ̃tɛzaɡɔʒ,nom_flexion
antéprédicatif,ɔ̃tepʁedikatif,adjectif
antéprédicatifs,ɔ̃tepʁedikatif,adjectif_flexion
antéprédicative,ɔ̃tepʁedikativ,adjectif_flexion
antéprédicatives,ɔ̃tepʁedikativ,adjectif_flexion
aout,u,nom
aoutien,ausjɛnɛ̃,nom
août,u,nom
aoûts,u,nom_flexion
aphroditopolitaine,afʁɔditɔpɔlitɛ̃,adjectif_flexion
aphroditopolitaines,afʁɔditɔpɔlitɛ̃,adjectif_flexion
aphthartodocète,aftaʁtɔdʁsɛt,adjectif
apocalypticienne,apɔkaliptisjɛ̃,adjectif_flexion
apocalypticiennes,apɔkaliptisjɛ̃,adjectif_flexion
apocyns,apɔsɛ̃,nom_flexion
aposématique,apɔzemak,adjectif
aposématiques,apɔzemakfʁ,adjectif_flexion
apotélésmatique,apɔstelematik,adjectif
apotélésmatique,apɔstelematik,nom
appartiennes,apaʁtɛn,verbe_flexion
apparîement,apaʁimɑ̃,nom
apparîements,apaʁimɑ̃,nom_flexion
appropriationnismes,apʁopʁiasjonist,nom_flexion
appropriements,apʁɔpʁimɛ̃,nom_flexion
appt,apaʁtəmɑ̃,nom
appuya,apɥija,verbe_flexion
appuyai,apɥije,verbe_flexion
appuyaient,apɥijɛ,verbe_flexion
appuyais,apɥijɛ,verbe_flexion
appuyait,apɥijɛ,verbe_flexion
appuyant,apɥijɑ̃,verbe_flexion
appuyas,apɥija,verbe_flexion
appuyasse,apɥijas,verbe_flexion
appuyassent,apɥijas,verbe_flexion
appuyasses,apɥijas,verbe_flexion
appuyassiez,apɥijasje,verbe_flexion
appuyassions,apɥijasjɔ̃,verbe_flexion
appuyer,apɥije,verbe
appuyez,apɥije,verbe_flexion
appuyoir,apɥijwaʁ,nom
appuyons,apɥijɔ̃,verbe_flexion
appuyâmes,apɥijam,verbe_flexion
appuyât,apɥija,verbe_flexion
appuyâtes,apɥijat,verbe_flexion
appuyèrent,apɥijɛʁ,verbe_flexion
appuyé,apɥije,adjectif
appuyé,apɥije,verbe_flexion
appuyée,apɥije,verbe_flexion
appuyée,apɥije,adjectif_flexion
appuyées,apɥije,verbe_flexion
appuyées,apɥije,adjectif_flexion
appuyés,apɥije,adjectif_flexion
appuyés,apɥije,verbe_flexion
apraxique,apʁaksi,adjectif
apérispliffs,apeʁisplif,nom_flexion
aquaculteurs,akwkyltœʁ,nom_flexion
aquapunching,akwapəntʃiŋ,nom
aquariologies,akwʁjolɔʒi,nom_flexion
aquariologiques,akwʁjolɔʒik,adjectif_flexion
aqueducte,akədyk,nom
arabi,ˈɑʁɑbi,nom
arancini,aʁɑsini,nom
arawá,aʁawa,nom
archaea,aʁke,nom
archetières,aʁʃətje,nom_flexion
archiatrie,aʁʃiatʁ,nom
ardonaises,aʁdɔnɛ,adjectif_flexion
areligieux,aʁəliʒjœ,adjectif
argentifique,aʁʒɑ̃tik,adjectif
arhinencéphalie,aʁinɑ̃sefalli,nom
arhinencéphalies,aʁinɑ̃sefalli,nom_flexion
aristodémocratique,aʁistɔdemɔkʁasi,adjectif
armadille,amaʁdij,nom_num=3
armadille,amaʁdij,nom_num=2
armadille,amaʁdij,nom_num=1
armadilles,amaʁdij,nom_flexion|num=3
armadilles,amaʁdij,nom_flexion|num=2
armadilles,amaʁdij,nom_flexion|num=1
arnaudes,aʁno,adjectif_flexion
arrdt,aʁɔ̃dismɑ̃,nom
arrivederci,aʁivedɛʁtʃi,interjection
arsaguais,aʁsakɛ,adjectif
arçonneur,aʁsɔnəʁ,nom
arçonneurs,aʁsɔnəʁ,nom_flexion
ascensoristes,asɔ̃soʁist,nom_flexion
ascéennes,sseɛn,adjectif_flexion
assayent,asɛj,verbe_flexion
assos,asos,nom_flexion
astinage,astsinaʒ,nom
astiner,astsine,verbe
astineux,astsnø,nom
atha,atɔ̃nœ̃blavi,adverbe
athenæe,atene,nom
athenæes,atene,nom_flexion
athétosique,aʁtetozik,adjectif
athétosiques,aʁtetozik,adjectif_flexion
aussitost,osito,adverbe
austères,ɔostɛʁ,adjectif_flexion
auteures,otœʁə,nom_flexion
autocoache,otokɔtʃ,verbe_flexion
autocoachent,otokɔtʃ,verbe_flexion
autocoaches,otokɔtʃ,verbe_flexion
autodébrayent,ɔtodebʁɛj,verbe_flexion
autoentretiennes,ɔtoɑ̃tʁətɛn,verbe_flexion
autologismes,neɔlɔʒism,nom_flexion
automaintiennes,ɔtomɛ̃tɛn,verbe_flexion
avha,avɔtʁœ̃blavi,adverbe
avoit,avwɛ,verbe_flexion
azigos,aziɡos,nom
azuléjo,azuleʁo,nom
azziminia,atsiminja,nom
azziministe,atsiminist,nom
aïl,ajil,nom
aïls,ajil,nom_flexion
a’,a,pronom
b,be,lettre
ba13,beatʁɛz,nom
baatɔnum,batɔnum,nom
baa’thiser,baatize,verbe
baa’thisiez,baatizje,verbe_flexion
baa’thisions,baatizjɔ̃,verbe_flexion
baa’thisons,baatizɔ̃,verbe_flexion
babos,babos,nom
backstages,bakstɛdʒ,nom_flexion
bacon,bekœn,nom
bacons,bekœn,nom_flexion
badminton,badmintən,nom
bahá’ís,baai,nom_flexion
bahá’ís,baai,adjectif_flexion
baillard,balaʁ,nom
balayent,balɛj,verbe_flexion
bankable,bɑ̃nkɛbəl,adjectif_num=2
bantuisa,debɑ̃tuiza,verbe_flexion
bantuisai,debɑ̃tuize,verbe_flexion
bantuisaient,debɑ̃tuizɛ,verbe_flexion
bantuisais,debɑ̃tuizɛ,verbe_flexion
bantuisait,debɑ̃tuizɛ,verbe_flexion
bantuisant,debɑ̃tuizɑ̃,verbe_flexion
bantuisas,debɑ̃tuiza,verbe_flexion
bantuisasse,debɑ̃tuizas,verbe_flexion
bantuisassent,debɑ̃tuizas,verbe_flexion
bantuisasses,debɑ̃tuizas,verbe_flexion
bantuisassiez,debɑ̃tuizasje,verbe_flexion
bantuisassions,debɑ̃tuizasjɔ̃,verbe_flexion
bantuise,debɑ̃tuiz,verbe_flexion
bantuisent,debɑ̃tuiz,verbe_flexion
bantuisera,debɑ̃tuizəʁa,verbe_flexion
bantuiserai,debɑ̃tuizəʁe,verbe_flexion
bantuiseraient,debɑ̃tuizəʁɛ,verbe_flexion
bantuiserais,debɑ̃tuizəʁɛ,verbe_flexion
bantuiserait,debɑ̃tuizəʁɛ,verbe_flexion
bantuiseras,debɑ̃tuizəʁa,verbe_flexion
bantuiserez,debɑ̃tuizəʁe,verbe_flexion
bantuiseriez,debɑ̃tuizəʁje,verbe_flexion
bantuiserions,debɑ̃tuizəʁjɔ̃,verbe_flexion
bantuiserons,debɑ̃tuizəʁɔ̃,verbe_flexion
bantuiseront,debɑ̃tuizəʁɔ̃,verbe_flexion
bantuises,debɑ̃tuiz,verbe_flexion
bantuisez,debɑ̃tuize,verbe_flexion
bantuisiez,debɑ̃tuizje,verbe_flexion
bantuisions,debɑ̃tuizjɔ̃,verbe_flexion
bantuisons,debɑ̃tuizɔ̃,verbe_flexion
bantuisâmes,debɑ̃tuizam,verbe_flexion
bantuisât,debɑ̃tuiza,verbe_flexion
bantuisâtes,debɑ̃tuizat,verbe_flexion
bantuisèrent,debɑ̃tuizɛʁ,verbe_flexion
bantuisé,debɑ̃tuize,verbe_flexion
bantuisée,debɑ̃tuize,verbe_flexion
bantuisées,debɑ̃tuize,verbe_flexion
bantuisés,debɑ̃tuize,verbe_flexion
barakies,baʁakj,nom_flexion
barakîs,baʁaki,nom_flexion
barbecues,baʁbəkju,nom_flexion
barbéient,baʁbɛj,verbe_flexion
barbéies,baʁbɛj,verbe_flexion
barbéiiez,baʁbeje,verbe_flexion
barbéiions,baʁbejɔ̃,verbe_flexion
basco-,fʁɑ̃ko,préfixe
bastos,bastos,nom
baure,baoʁe,nom
baure,baoʁe,adjectif
bcbg,besebeʒe,adjectif
bcbg,besebeʒe,nom
bcp,boku,pronom indéfini
bcp,boku,adverbe
bd,bulvaʁ,nom
beache,bitʃ,verbe_flexion
beachent,bitʃ,verbe_flexion
beaches,bitʃ,verbe_flexion
beachs,bitʃ,nom_flexion
beagle,biɡəl,nom
beaucairien,bokɛʁʁjɛ̃,adjectif
beauseigne,bœsɛɲ,interjection
becquebois,bɛkbwɑ,nom
becquez,bek,verbe_flexion
belgeoisants,t,nom_flexion
belgifia,sillabifja,verbe_flexion
belgifiai,sillabifje,verbe_flexion
belgifiaient,sillabifjɛ,verbe_flexion
belgifiais,sillabifjɛ,verbe_flexion
belgifiait,sillabifjɛ,verbe_flexion
belgifiant,sillabifjɑ̃,verbe_flexion
belgifias,sillabifja,verbe_flexion
belgifiasse,sillabifjas,verbe_flexion
belgifiassent,sillabifjas,verbe_flexion
belgifiasses,sillabifjas,verbe_flexion
belgifiassiez,sillabifjasje,verbe_flexion
belgifiassions,sillabifjasjɔ̃,verbe_flexion
belgifie,sillabifi,verbe_flexion
belgifient,sillabifi,verbe_flexion
belgifiera,sillabifiʁa,verbe_flexion
belgifierai,sillabifiʁe,verbe_flexion
belgifieraient,sillabifiʁɛ,verbe_flexion
belgifierais,sillabifiʁɛ,verbe_flexion
