Mot,Prononciation,Type,Warn_code,Warn_label
&c,ɛt‿se.te.ʁa,adverbe,err_lower_case,&_as_first_letter
(2s),dø.zjɛm sɛk.sjɔ̃,nom,err_lower_case,(_as_first_letter
(2s),dø ɛs,nom,err_lower_case,(_as_first_letter
1º,pʁi.mo,adverbe,err_lower_case,1_as_first_letter
2m1,də.mɛ̃,adverbe,err_lower_case,2_as_first_letter
68ard,swa.sɑ̃.t‿ɥi.taʁ,nom,err_lower_case,6_as_first_letter
68ard,swa.sɑ̃.t‿ɥi.taʁ,adjectif,err_lower_case,6_as_first_letter
68arde,swa.sɑ̃.t‿ɥi.taʁd,adjectif_flexion,err_lower_case,6_as_first_letter
68arde,swa.sɑ̃.t‿ɥi.taʁd,nom,err_lower_case,6_as_first_letter
68ardes,swa.sɑ̃.t‿ɥi.taʁd,nom_flexion,err_lower_case,6_as_first_letter
68ardes,swa.sɑ̃.t‿ɥi.taʁd,adjectif_flexion,err_lower_case,6_as_first_letter
68ards,swa.sɑ̃.t‿ɥi.taʁ,nom_flexion,err_lower_case,6_as_first_letter
68ards,swa.sɑ̃.t‿ɥi.taʁ,adjectif_flexion,err_lower_case,6_as_first_letter
70ème,swa.sɑ̃t di.zjɛm,adjectif,err_lower_case,7_as_first_letter
aa,a.na,nom_num=2,-,-
aabam,aːbam,nom,err_phonemes,ː
aal,aːl,nom,err_phonemes,ː
aalandais,oː.lɑ̃.dɛ,adjectif,err_phonemes,ː
aalandais,aː.lɑ̃.dɛ,adjectif,err_phonemes,ː
aalandaise,aːlɑ̃.dɛz,adjectif_flexion,err_phonemes,ː
aalandaise,oːlɑ̃.dɛz,adjectif_flexion,err_phonemes,ː
aalandaises,oːlɑ̃.dɛz,adjectif_flexion,err_phonemes,ː
aalandaises,aːlɑ̃.dɛz,adjectif_flexion,err_phonemes,ː
aantgich,aːn.tʒik,nom,err_phonemes,ː
aantgichs,aːn.tʒik,nom_flexion,err_phonemes,ː
aarite,aːʁit,nom,err_phonemes,ː
aarites,aːʁit,nom_flexion,err_phonemes,ː
aasá,a.sa,nom,err_letters,á
ab,av,nom_num=1,-,-
abadá,a.ba.da,nom,err_letters,á
abadás,a.ba.da,nom_flexion,err_letters,á
abds,a.ba,nom_flexion,-,-
abipón,a.bi.pɔn,nom,err_letters,ó
ablainois,a.blɛ̃.nwa,adjectif,-,-
ablainoise,a.blɛ̃.nwaz,adjectif_flexion,-,-
ablainoises,a.blɛ̃.nwaz,adjectif_flexion,-,-
aboiteau,a.bwe.to,nom,-,-
abrahamiques,a.bʁa.ʔa.mik,adjectif_flexion,err_phonemes,ʔ
accortesse,a.kɔʁ.tiz,nom,-,-
ace,eɪs,nom,err_phonemes,ɪ
acehnais,a.tʃe.nɛ,nom,-,-
acehnais,a.tʃe.nɛ,adjectif,-,-
achenheimois,a.xən.(h)aj.mwa,adjectif,err_phonemes,x
achenheimoise,a.xən.(h)aj.mwaz,adjectif_flexion,err_phonemes,x
achenheimoises,a.xən.(h)aj.mwaz,adjectif_flexion,err_phonemes,x
acroá,a.kʁo.a,nom,err_letters,á
admixtion,ad.mik.sjɔ̃,nom,-,-
admixtions,ad.mik.sjɔ̃,nom_flexion,-,-
affoiblir,a.fe.bliʁ,verbe,-,-
affouagements,a.fu.aj.mɑ̃,nom_flexion,-,-
affouragemens,a.fu.ʁa.jmɑ̃,nom_flexion,-,-
affouragement,a.fu.ʁa.jmɑ̃,nom,-,-
affouragements,a.fu.ʁa.jmɑ̃,nom_flexion,-,-
affourragemens,a.fu.ʁa.jmɑ̃,nom_flexion,-,-
affourragement,a.fu.ʁa.jmɑ̃,nom,-,-
