phonème,graphème,occurences,pourcentage,exemple_1,exemple_2,exemple_3
m,m’,31,0.0,com’,com’com,diam’
m,hm,773,0.0,achmite,achmites,achmophobie
m,m,224128,0.79,aalclim,aalklim,abactériémique
m,me,5964,0.02,aaronisme,abime,abolitionisme
m,mm,14785,0.05,abondamment,accommoda,accommodable
m,mme,325,0.0,adénogramme,akkadogramme,algorigramme
m,ment,596,0.0,abiment,abyment,abîment
m,mes,32895,0.11,aaronismes,abadâmes,abaissâmes
m,mment,73,0.0,anagramment,assomment,autoconsomment
m,mmes,268,0.0,adénogrammes,akkadogrammes,algorigrammes
m,mms,2,0.0,stamms,stemms,
m,ms,531,0.0,aalclims,aalklims,abomasums
v,v,111547,0.95,abainvillois,abainvilloise,abainvilloises
v,w,689,0.0,adamswillerois,adamswilleroise,adamswilleroises
v,bv,0,0.0,,,
v,ve,3185,0.02,abave,abdicative,abeurve
v,f,2,0.0,ofnis,making-of,
v,vent,491,0.0,abeurvent,abreuvent,absolvent
v,ves,1275,0.01,abaves,abdicatives,abeurves
v,vs,8,0.0,annivs,cacatovs,couvs
v,we,6,0.0,autointerviewe,interviewe,lerwe
v,went,4,0.0,autointerviewent,interviewent,réinterviewent
v,wes,6,0.0,autointerviewes,interviewes,lerwes
f,f,129865,0.7,abdicatif,abductif,abessif
f,ph,30451,0.16,abcédographie,abcédographies,ablutophobie
f,fe,281,0.0,agnafe,agrafe,alacalufe
f,ff,21318,0.11,abomiffreuse,abomiffreuses,abomiffreux
f,ffe,352,0.0,affenage,affenages,agaffe
f,pf,229,0.0,champfrain,champfrains,déschtroumpfa
f,fent,66,0.0,agrafent,antifent,attifent
f,fes,95,0.0,agnafes,agrafes,anatifes
f,ffent,134,0.0,agaffent,agoffent,agriffent
f,ffes,170,0.0,agaffes,agoffes,agriffes
f,fs,892,0.0,abdicatifs,abessifs,ablatifs
f,gh,2,0.0,rough,tough,
f,phe,477,0.0,abioglyphe,acalèphe,accélérographe
f,phent,18,0.0,apostrophent,catastrophent,déhiéroglyphent
f,phes,363,0.0,abioglyphes,acalèphes,accélérographes
f,phs,5,0.0,alephs,diaphs,josephs
f,v,6,0.0,cheveux,kalachnikov,kalashnikov
f,ve,11,0.0,abrogative,aperceptive,conclusive
f,vs,3,0.0,kalachnikovs,kalashnikovs,makarovs
b,b,214869,0.98,ab-,aba,abab
b,bh,1,0.0,club-house,,
b,gb,11,0.0,blingbling,blingblings,gbagbiste
b,be,1046,0.0,absorbe,accube,acerbe
b,bb,889,0.0,abbaasi,abbaasis,abbanaises
b,bbe,23,0.0,abbecourtois,abbecourtoise,abbecourtoises
b,h,1,0.0,kahba,,
b,bbent,8,0.0,clubbent,dabbent,fansubbent
b,bbes,10,0.0,astibbes,clubbes,dabbes
b,bent,195,0.0,absorbent,acerbent,adoubent
b,bes,475,0.0,absorbes,accubes,acerbes
b,bs,99,0.0,achebs,adarebs,alacabs
p,p,273144,0.92,abampère,abampères,abdominoplastie
p,b,1540,0.0,absalonien,absalonienne,absaloniennes
p,pe,2401,0.0,accipe,acclampe,accroupetonna
p,pp,15053,0.05,achoppa,achoppai,achoppaient
p,ps,116,0.0,acaps,amaps,autostops
p,ppe,349,0.0,achoppe,achoppemens,achoppement
p,pent,405,0.0,accipent,acclampent,achapent
p,pes,791,0.0,accipes,acclampes,achapes
p,ppent,127,0.0,achoppent,agrippent,agrouppent
p,ppes,145,0.0,achoppes,agrippes,agrouppes
p,pps,1,0.0,trapps,,
d,d’,169,0.0,aujourd’hui,cejourd’hui,cesoird’hui
d,d,341295,0.96,abada,abadai,abadaient
d,dh,22,0.0,adhære,adhærent,adhærera
d,j,42,0.0,darjeeling,jeep,jeeps
d,dd,1089,0.0,adda,addai,addaient
d,de,4966,0.01,abade,abande,abbasside
d,g,240,0.0,aggiornamenta,aggiornamentai,aggiornamentaient
d,z,245,0.0,autopaparazzia,autopaparazziai,autopaparazziaient
d,dde,10,0.0,adde,bidde,gedde
d,ddes,5,0.0,addes,biddes,muddes
d,ddent,2,0.0,addent,biddent,
d,dent,1019,0.0,abadent,abandent,abcèdent
d,des,3009,0.0,abades,abandes,abcèdes
d,dds,1,0.0,judds,,
d,dhs,1,0.0,jodhs,,
d,ds,152,0.0,abends,abids,abjads
t,t’,21,0.0,appart’,cafèt’,cafét’
t,c,1468,0.0,acciaccatura,achinais,acholi
t,t,573617,0.85,aastaises,abacost,abactérien
t,th,2324,0.0,absinthai,absinthaient,absinthant
t,cht,238,0.0,déschtroumpfa,déschtroumpfai,déschtroumpfaient
t,chts,1,0.0,yachts,,
t,d,54,0.0,chappedonade,chappedonades,mandchou
t,pt,1249,0.0,anabaptisa,anabaptisai,anabaptisaient
t,te,13243,0.01,aakérite,abacate,abaciste
t,the,266,0.0,absinthe,absynthe,acanthe
t,tt,27709,0.04,abattable,abattables,abattage
t,tte,2404,0.0,abatte,abattemens,abattement
t,dt,12,0.0,arendtien,darmstadtates,darmstadtium
t,tent,2960,0.0,abotent,aboutent,abratent
t,tes,38508,0.05,aakérites,abacates,abacistes
t,thent,6,0.0,absinthent,azimuthent,bismuthent
t,thes,172,0.0,absinthes,absynthes,acanthes
t,ths,25,0.0,aneths,archiluths,azoths
t,ts,496,0.0,abits,abjects,abrupts
t,ttent,656,0.0,abattent,abbattent,accottent
t,ttes,1868,0.0,abattes,abbattes,ablerettes
t,tts,31,0.0,attowatts,boycotts,centiwatts
n,n’,11,0.0,n’,n’dama,n’damas
n,n,229732,0.72,aalénien,aalénienne,aaléniennes
n,kn,90,0.0,brucknérien,brucknérienne,brucknériennes
n,g,71,0.0,avignonnaise,bignola,bignolai
n,hn,1744,0.0,antitechniciste,antitechnicistes,arachnicide
n,mn,406,0.0,autocondamna,autocondamnai,autocondamnaient
n,ñ,0,0.0,,,
n,ne,6691,0.02,abaliène,abalone,abamectine
n,nh,9,0.0,enhaient,manhwa,manhwaga
n,nn,61106,0.19,abandonna,abandonnable,abandonnables
n,nne,4319,0.01,aalénienne,abandonne,abandonnemens
n,wn,248,0.0,brownesque,brownie,brownies
n,mne,15,0.0,autocondamne,autodamne,automne
n,mnent,11,0.0,autocondamnent,autodamnent,automnent
n,mnes,12,0.0,autocondamnes,autodamnes,automnes
n,nhs,0,0.0,,,
n,nent,1388,0.0,abaliènent,abandounent,abominent
n,nes,4651,0.01,abaliènes,abalones,abamectines
n,nnent,1303,0.0,abandonnent,ablutionnent,abonnent
