Phonème,Position,Graphème
m,isolé,m’
m,début,hm
m,début,m
m,milieu,m
m,milieu,me
m,milieu,mm
m,milieu,mme
m,fin,m
m,fin,me
m,fin,ment
m,fin,mes
m,fin,mm
m,fin,mme
m,fin,mment
m,fin,mmes
m,fin,mms
m,fin,ms
v,début,v
v,début,w
v,milieu,bv
v,milieu,v
v,milieu,ve
v,milieu,w
v,fin,f
v,fin,v
v,fin,ve
v,fin,vent
v,fin,ves
v,fin,vs
v,fin,we
v,fin,went
v,fin,wes
f,début,f
f,début,ph
f,milieu,f
f,milieu,fe
f,milieu,ff
f,milieu,ffe
f,milieu,pf
f,milieu,ph
f,fin,f
f,fin,fe
f,fin,ff
f,fin,fent
f,fin,fes
f,fin,ffe
f,fin,ffent
f,fin,ffes
f,fin,fs
f,fin,gh
f,fin,pf
f,fin,ph
f,fin,phe
f,fin,phent
f,fin,phes
f,fin,phs
f,fin,v
f,fin,ve
f,fin,vs
b,début,b
b,début,bh
b,début,gb
b,milieu,b
b,milieu,be
b,milieu,bb
b,milieu,bbe
b,milieu,h
b,fin,b
b,fin,bbe
b,fin,bbent
b,fin,bbes
b,fin,be
b,fin,bent
b,fin,bes
b,fin,bs
p,début,p
p,milieu,b
p,milieu,p
p,milieu,pe
p,milieu,pp
p,milieu,ps
p,milieu,ppe
p,fin,p
p,fin,pe
p,fin,pent
p,fin,pes
p,fin,pp
p,fin,ppe
p,fin,ppent
p,fin,ppes
p,fin,pps
p,fin,ps
d,isolé,d’
d,début,d
d,début,dh
d,début,j
d,milieu,d
d,milieu,dd
d,milieu,de
d,milieu,dh
d,milieu,g
d,milieu,j
d,milieu,z
d,fin,d
d,fin,dd
d,fin,dde
d,fin,ddes
d,fin,ddent
d,fin,de
d,fin,dent
d,fin,des
d,fin,dds
d,fin,dh
d,fin,dhs
d,fin,ds
t,isolé,t’
t,début,c
t,début,t
t,début,th
t,milieu,c
t,milieu,cht
t,milieu,chts
t,milieu,d
t,milieu,pt
t,milieu,t
t,milieu,te
t,milieu,th
t,milieu,the
t,milieu,tt
t,milieu,tte
t,fin,cht
t,fin,chts
t,fin,d
t,fin,dt
t,fin,pt
t,fin,t
t,fin,te
t,fin,tent
t,fin,tes
t,fin,th
t,fin,the
t,fin,thent
t,fin,thes
t,fin,ths
t,fin,ts
t,fin,tt
t,fin,tte
t,fin,ttent
t,fin,ttes
t,fin,tts
n,isolé,n’
n,début,n
n,milieu,g
n,milieu,hn
n,milieu,mn
n,milieu,n
n,milieu,ñ
n,milieu,ne
n,milieu,nh
n,milieu,nn
n,milieu,nne
n,milieu,wn
n,fin,mne
n,fin,mnent
n,fin,mnes
n,fin,n
n,fin,nh
n,fin,nhs
n,fin,ne
n,fin,nent
n,fin,nes
n,fin,nn
n,fin,nne
n,fin,nnent
n,fin,nnes
n,fin,nns
n,fin,ns
ɲ,début,gn
ɲ,début,n
ɲ,début,ñ
ɲ,milieu,gn
ɲ,milieu,gne
ɲ,milieu,gni
ɲ,milieu,ign
ɲ,milieu,ñ
ɲ,milieu,ni
ɲ,milieu,nni
ɲ,milieu,ny
ɲ,fin,gne
ɲ,fin,gnent
ɲ,fin,gnes
ɲ,fin,igne
ɲ,fin,ny
ɲ,fin,nys
ŋ,début,n
ŋ,milieu,n
ŋ,milieu,ng
ŋ,fin,g
ŋ,fin,ng
ŋ,fin,ngs
ɡ,début,g
ɡ,début,gh
ɡ,début,gu
ɡ,milieu,c
ɡ,milieu,g
ɡ,milieu,gh
ɡ,milieu,gg
ɡ,milieu,gu
ɡ,milieu,gue
ɡ,fin,c
ɡ,fin,g
ɡ,fin,gge
ɡ,fin,ggent
ɡ,fin,gges
ɡ,fin,gs
ɡ,fin,gue
ɡ,fin,guent
ɡ,fin,gues
k,isolé,qu’
k,début,c
k,début,ch
k,début,k
k,début,kh
k,début,q
k,début,qu
k,début,xh
k,milieu,c
k,milieu,cc
k,milieu,cch
k,milieu,ch
k,milieu,cg
k,milieu,ck
k,milieu,cq
k,milieu,cqu
k,milieu,cque
k,milieu,g
k,milieu,k
k,milieu,kh
k,milieu,kk
k,milieu,kw
k,milieu,q
k,milieu,qu
k,milieu,que
k,fin,c
k,fin,ch
k,fin,che
k,fin,ches
k,fin,chs
k,fin,ck
k,fin,cke
k,fin,ckent
k,fin,ckes
k,fin,cks
k,fin,cq
k,fin,cque
k,fin,cquent
k,fin,cques
k,fin,cs
k,fin,g
k,fin,k
k,fin,ke
k,fin,kent
k,fin,kes
k,fin,kh
k,fin,khe
k,fin,khs
k,fin,khes
k,fin,kke
k,fin,kkent
k,fin,kkes
k,fin,ks
k,fin,kw
k,fin,kws
k,fin,q
k,fin,qs
k,fin,que
k,fin,quent
k,fin,ques
ʒ,isolé,j’
ʒ,début,g
ʒ,début,ge
ʒ,début,j
ʒ,milieu,e
ʒ,milieu,g
ʒ,milieu,ge
ʒ,milieu,gg
ʒ,milieu,j
ʒ,milieu,je
ʒ,fin,g
ʒ,fin,ge
ʒ,fin,gent
ʒ,fin,ges
ʒ,fin,j
ʒ,fin,je
ʒ,fin,jent
ʒ,fin,jes
ʒ,fin,js
ʃ,début,ch
ʃ,début,ch’
